Ind,mnm1_sd,mnm2_sd,mnm3_sd,mnp4_sd,mxm1_sd,mxm2_sd,mxm3_sd,mxp3_sd,mxp4_sd,mnm1av,mnm2av,mnm3av,mnp4av,mxm1av,mxm2av,mxm3av,mxp3av,mxp4av,sex,dimension
F1,-0.118,-0.17099999999999899,-0.234999999999999,NA,-0.229999999999999,-0.247,0.136999999999997,-0.271999999999999,-0.0240000000000009,8.445,10.8835,11.3875,NA,9.679,11.1185,11.4545,7.866,8.44,female,breadth
F10,NA,NA,NA,NA,NA,NA,-0.483000000000001,NA,NA,NA,NA,NA,NA,NA,NA,12.0635,NA,NA,female,breadth
F11,-0.273999999999999,-0.360999999999999,-0.254999999999997,-0.169999999999999,-0.171000000000001,-0.0700000000000003,-9.99999999999446e-4,NA,-0.388000000000002,7.221,9.1965,9.6855,6.126,8.8665,10.177,10.5595,NA,7.807,female,breadth
F12,-0.144000000000002,NA,-0.476000000000001,NA,-0.510999999999999,NA,-0.194000000000001,-0.609,-0.360999999999997,8.825,NA,11.848,NA,9.3635,NA,10.74,7.1205,8.4315,female,breadth
F13,-0.305,NA,-0.165000000000001,NA,-0.111000000000001,-0.241000000000001,0.0419999999999998,-0.745,-0.259,8.4255,NA,11.2785,NA,9.8775,11.5635,11.834,7.9285,8.6495,female,breadth
F14,-0.412000000000001,-0.154,-0.280000000000001,-0.210999999999999,-0.209,-0.257999999999999,-0.0609999999999982,-0.369000000000001,-0.353999999999997,8.193,9.999,9.898,6.7295,9.7025,10.782,11.0805,7.2385,8.089,female,breadth
F15,-0.105999999999998,-0.0490000000000013,-0.264999999999999,-0.178,-0.215999999999999,-0.115000000000002,-0.597000000000003,-0.456000000000001,-0.508000000000001,8.001,10.1205,10.5215,7.383,9.868,11.2785,11.1985,8.392,8.986,female,breadth
F16,-0.140000000000002,-0.454999999999998,NA,-0.0190000000000001,-0.132,-0.180999999999999,-0.116999999999999,0.163000000000001,-0.143000000000001,8.225,10.1305,NA,7.0115,9.505,11.2125,11.1265,7.4285,8.3155,female,breadth
F17,NA,NA,-0.130000000000001,NA,-0.128,NA,-0.020999999999999,-0.275,-0.0810000000000013,NA,NA,11.639,NA,9.287,NA,12.2865,8.0135,8.5395,female,breadth
F18,0.0409999999999977,-0.222999999999999,-0.237000000000002,NA,-0.246000000000002,0.00300000000000011,0.359,0.128,-0.363999999999999,7.8685,10.1735,10.3715,NA,9.855,11.8295,10.9705,7.741,8.689,female,breadth
F19,NA,NA,NA,NA,-0.179,-0.152000000000003,-0.145000000000003,-0.153,-0.24,NA,NA,NA,NA,10.0325,11.414,11.4655,7.7085,8.755,female,breadth
F2,-0.2,-0.230999999999998,-0.0350000000000001,-0.0250000000000012,0.041999999999998,-0.487999999999998,-0.211,-0.328,-0.352,7.711,9.7205,9.9415,6.5725,9.545,10.628,11.1455,7.587,8.014,female,breadth
F20,NA,NA,NA,NA,-0.241,-0.217000000000002,-0.322000000000001,NA,-0.462,NA,NA,NA,NA,10.5615,12.5655,12.602,NA,9.086,female,breadth
F21,NA,NA,NA,NA,-0.376000000000001,-0.0749999999999975,0.0149999999999988,-0.240999999999996,-0.099000000000002,NA,NA,NA,NA,10.075,12.1935,12.1475,8.2905,8.9205,female,breadth
