Sex,Dimension,trait,Ind,n_consec,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mnm1,F1,9,-6.666666666666969e-4,0.14295602324143455,0.33999999999999986,high,0.3214285714285738,0.32044989648880245,0.3214285714285738,0.32044989648880245,3.6231884057971015e-4,63,n.s.,3.6231884057971015e-4,63,n.s.
female,breadth,mnm1,F11,9,-6.666666666666969e-4,0.14295602324143455,-0.29999999999999893,low,0.13793103448275587,0.00588235294118733,0.13793103448275587,0.00588235294118733,2.564102564102564e-4,6,n.s.,2.564102564102564e-4,6,n.s.
female,breadth,mnm1,F12,9,-6.666666666666969e-4,0.14295602324143455,-0.16000000000000014,low,0.19354838709677655,0.23920345685051236,0.1935483870967766,0.23920345685051236,3.246753246753247e-4,47,n.s.,3.246753246753247e-4,47,n.s.
female,breadth,mnm1,F13,9,-6.666666666666969e-4,0.14295602324143455,-0.16999999999999993,low,0.25714285714286206,0.6861819405111267,0.25714285714286206,0.6861819405111267,7.8125e-4,137,n.s.,7.8125e-4,137,n.s.
female,breadth,mnm1,F14,9,-6.666666666666969e-4,0.14295602324143455,0.25000000000000266,high,0.03921568627451394,0.2392034568505388,0.03921568627451394,0.2392034568505388,3.2679738562091506e-4,48,n.s.,3.2679738562091506e-4,48,n.s.
female,breadth,mnm1,F15,9,-6.666666666666969e-4,0.14295602324143455,0.17999999999999972,high,0.04651162790697775,0.28719210271550843,0.04651162790697775,0.28719210271550843,3.4722222222222224e-4,57,n.s.,3.4722222222222224e-4,57,n.s.
female,breadth,mnm1,F16,9,-6.666666666666969e-4,0.14295602324143455,-0.3899999999999988,low,0.35937499999999956,0.7920677185889304,0.35937499999999956,0.7920677185889304,0.0010869565217391304,155,n.s.,0.0010869565217391304,155,n.s.
female,breadth,mnm1,F18,9,-6.666666666666969e-4,0.14295602324143455,0.1200000000000001,high,0.16666666666666666,0.9508221513826081,0.16666666666666666,0.9508221513826081,0.008333333333333333,195,n.s.,0.008333333333333333,195,n.s.
female,breadth,mnm1,F2,9,-6.666666666666969e-4,0.14295602324143455,0.3099999999999996,high,0.2745098039215681,0.49953253742739223,0.2745098039215681,0.49953253742739223,4.5871559633027525e-4,92,n.s.,4.5871559633027525e-4,92,n.s.
female,breadth,mnm1,F28,9,-6.666666666666969e-4,0.14295602324143455,-0.41999999999999904,low,0.31081081081081086,0.44621834885538547,0.31081081081081086,0.44621834885538547,4.4247787610619474e-4,88,n.s.,4.4247787610619474e-4,88,n.s.
female,breadth,mnm1,F3,9,-6.666666666666969e-4,0.14295602324143455,-0.1200000000000001,low,0.03125000000000208,0.19004196858058386,0.03125000000000208,0.19004196858058386,3.0864197530864197e-4,39,n.s.,3.0864197530864197e-4,39,n.s.
female,breadth,mnm1,F33,9,-6.666666666666969e-4,0.14295602324143455,-0.21000000000000085,low,0.1111111111111188,0.3604150651944731,0.1111111111111188,0.3604150651944731,3.846153846153846e-4,71,n.s.,3.846153846153846e-4,71,n.s.
female,breadth,mnm1,F38,9,-6.666666666666969e-4,0.14295602324143455,0.1700000000000017,high,0.17241379310346142,0.9205447178585044,0.17241379310346136,0.9205447178585044,0.003125,185,n.s.,0.003125,185,n.s.
female,breadth,mnm1,F4,9,-6.666666666666969e-4,0.14295602324143455,0.16000000000000014,high,0.25806451612903214,0.7118233928436852,0.2580645161290321,0.7118233928436852,8.474576271186442e-4,142,n.s.,8.474576271186442e-4,142,n.s.
female,breadth,mnm1,F40,9,-6.666666666666969e-4,0.14295602324143455,0.16000000000000014,high,0.09999999999999763,0.6007490716820347,0.09999999999999763,0.6007490716820347,6.024096385542169e-4,118,n.s.,6.024096385542169e-4,118,n.s.
female,breadth,mnm1,F5,9,-6.666666666666969e-4,0.14295602324143455,-0.28999999999999915,low,0.3953488372093024,0.5331835359105215,0.3953488372093024,0.5331835359105215,4.950495049504951e-4,100,n.s.,4.950495049504951e-4,100,n.s.
female,breadth,mnm1,F6,9,-6.666666666666969e-4,0.14295602324143455,0.3199999999999994,high,0.47499999999999937,0.12966539375062197,0.47499999999999937,0.12966539375062197,2.8571428571428574e-4,26,n.s.,2.8571428571428574e-4,26,n.s.
female,breadth,mnm1,F7,9,-6.666666666666969e-4,0.14295602324143455,-0.27000000000000135,low,0.02127659574468029,0.005882352941176894,0.02127659574468029,0.005882352941176894,2.512562814070352e-4,2,n.s.,2.512562814070352e-4,2,n.s.
female,breadth,mnm1,F8,9,-6.666666666666969e-4,0.14295602324143455,-0.0699999999999994,low,0.20000000000000093,0.3604150651944713,0.2000000000000009,0.3604150651944713,3.816793893129771e-4,70,n.s.,3.816793893129771e-4,70,n.s.
female,breadth,mnm1,F9,9,-6.666666666666969e-4,0.14295602324143455,0.22000000000000064,high,0.2826086956521751,0.6558225453425417,0.2826086956521751,0.6558225453425417,6.756756756756757e-4,127,n.s.,6.756756756756757e-4,127,n.s.
female,breadth,mnm2,F1,9,-0.001458333333333364,0.184394563084449,0.28000000000000114,high,0.2678571428571464,0.5175943251815333,0.2678571428571464,0.5175943251815333,4.8543689320388353e-4,98,n.s.,4.8543689320388353e-4,98,n.s.
