Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mnm1,F1,10,-0.1537,0.16301897413997002,-0.4299999999999997,low,0.500000000000002,0.2948366468612629,0.500000000000002,0.2948366468612629,3.6231884057971015e-4,63,n.s.,3.6231884057971015e-4,63,n.s.
female,breadth,mnm1,F11,10,-0.1537,0.16301897413997002,-0.45999999999999996,low,0.18918918918919037,0.7257068069390405,0.18918918918919037,0.7257068069390405,0.0010869565217391304,155,n.s.,0.0010869565217391304,155,n.s.
female,breadth,mnm1,F12,10,-0.1537,0.16301897413997002,0.02999999999999936,high,0.40740740740740594,0.17519482236771725,0.40740740740740594,0.17519482236771725,3.0120481927710846e-4,35,n.s.,3.0120481927710846e-4,35,n.s.
female,breadth,mnm1,F13,10,-0.1537,0.16301897413997002,-0.41999999999999993,low,0.0799999999999983,0.5172723247104067,0.0799999999999983,0.5172723247104067,5.434782608695652e-4,109,n.s.,5.434782608695652e-4,109,n.s.
female,breadth,mnm1,F14,10,-0.1537,0.16301897413997002,-0.20999999999999908,high,0.2777777777777801,0.553313572062339,0.2777777777777801,0.553313572062339,5.882352941176471e-4,116,n.s.,5.882352941176471e-4,116,n.s.
female,breadth,mnm1,F15,10,-0.1537,0.16301897413997002,0.04999999999999982,high,0.09999999999999763,0.6308522520607243,0.09999999999999763,0.6308522520607243,7.692307692307692e-4,136,n.s.,7.692307692307692e-4,136,n.s.
female,breadth,mnm1,F16,10,-0.1537,0.16301897413997002,-0.4599999999999991,low,0.4716981132075444,0.41054890125142107,0.4716981132075444,0.41054890125142107,4.347826086956522e-4,86,n.s.,4.347826086956522e-4,86,n.s.
female,breadth,mnm1,F18,10,-0.1537,0.16301897413997002,-0.16000000000000014,low,0.1562499999999993,0.46430900121890883,0.1562499999999993,0.46430900121890883,4.950495049504951e-4,100,n.s.,4.950495049504951e-4,100,n.s.
female,breadth,mnm1,F2,10,-0.1537,0.16301897413997002,-0.020000000000000462,high,0.2307692307692306,0.5937551395201743,0.2307692307692306,0.5937551395201743,6.756756756756757e-4,127,n.s.,6.756756756756757e-4,127,n.s.
female,breadth,mnm1,F28,10,-0.1537,0.16301897413997002,-0.040000000000000924,high,0.1666666666666635,0.8974896895577144,0.1666666666666635,0.8974896895577144,0.002777777777777778,183,n.s.,0.002777777777777778,183,n.s.
female,breadth,mnm1,F3,10,-0.1537,0.16301897413997002,-0.4399999999999995,low,0.18749999999999914,0.8718242326591346,0.18749999999999914,0.8718242326591346,0.002173913043478261,178,n.s.,0.002173913043478261,178,n.s.
female,breadth,mnm1,F33,10,-0.1537,0.16301897413997002,0.2400000000000002,high,0.20930232558139517,0.6299480648981259,0.20930232558139517,0.6299480648981259,7.575757575757576e-4,135,n.s.,7.575757575757576e-4,135,n.s.
female,breadth,mnm1,F38,10,-0.1537,0.16301897413997002,0.1399999999999988,high,0.47058823529411303,0.0504300245821634,0.47058823529411303,0.0504300245821634,2.717391304347826e-4,17,n.s.,2.717391304347826e-4,17,n.s.
female,breadth,mnm1,F4,10,-0.1537,0.16301897413997002,0.21999999999999975,high,0.07142857142857006,0.46430900121888996,0.07142857142857006,0.46430900121888996,4.901960784313725e-4,99,n.s.,4.901960784313725e-4,99,n.s.
female,breadth,mnm1,F40,10,-0.1537,0.16301897413997002,0,high,0.16000000000000014,0.9160486847277555,0.16000000000000014,0.9160486847277555,0.0035714285714285718,187,n.s.,0.0035714285714285718,187,n.s.
female,breadth,mnm1,F5,10,-0.1537,0.16301897413997002,-0.4399999999999995,low,0.3111111111111129,0.012500000000000622,0.3111111111111129,0.012500000000000622,2.5510204081632655e-4,5,n.s.,2.5510204081632655e-4,5,n.s.
female,breadth,mnm1,F6,10,-0.1537,0.16301897413997002,-0.3199999999999994,low,0.43749999999999983,0.3557330471871223,0.43749999999999983,0.3557330471871223,3.968253968253968e-4,75,n.s.,3.968253968253968e-4,75,n.s.
female,breadth,mnm1,F7,10,-0.1537,0.16301897413997002,-0.40000000000000036,low,0.08695652173912875,0.5720637211596602,0.08695652173912875,0.5720637211596602,6.25e-4,121,n.s.,6.25e-4,121,n.s.
female,breadth,mnm1,F8,10,-0.1537,0.16301897413997002,-0.45999999999999996,low,0.28571428571428603,0.6113423281986712,0.28571428571428603,0.6113423281986712,7.246376811594203e-4,132,n.s.,7.246376811594203e-4,132,n.s.
