Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
female,breadth,mxp4,21.549347327044014,1,3.821086909447494,31,0.33416802529248657,31,0.012125351592851611,572,64.48656273496712,4.5590124984886686e-9,11.434627553318482,5.287682006935481e-10,27.559450357669814,3.587108464170462e-93,0.00625,1,*,3.6285193899801396,9.9375,0.03240680993203874,28.789078806966746
female,breadth,mxm1,7.491004032258162,1,3.0035465698924737,30,0.12400736559139802,30,0.008291236559139693,558,60.4077346255454,1.1338106803438085e-8,24.220711048641288,4.297231273758745e-14,14.956438006186275,1.1908433525881495e-53,0.0071428571428571435,2,*,6.686083943157993,10,0.011571612903225833,26.116183958752142
female,breadth,mxm3,2.076328023598812,1,9.307184152885801,33,0.30783644036232566,33,0.0243616375227685,610,6.7449065521773814,0.013935359013415298,30.23418586159319,8.031160188757925e-17,12.636114467864497,8.591586716384833e-50,0.008333333333333333,3,*,7.913825112483331,9.970588235294118,0.028431101169749097,27.974071985473348
female,breadth,mxm2,5.400768025078368,1,9.406697007337032,31,0.15033239345625357,31,0.01958255903987611,574,35.925510802500334,1.2489756239816432e-6,62.57265510825757,1.3780188256777616e-20,7.676851281292226,2.3799272005369576e-27,0.01,4,*,13.026173926762228,9.96875,0.013115970850545703,23.428314276259066
female,breadth,mnm1,2.3623690000000184,1,3.1173746842105374,19,0.07143952631578925,19,0.008633111111111145,360,33.068094398575234,1.53086101321988e-5,43.63655310969705,8.468198850395295e-12,8.275061608305242,3.264605972887841e-19,0.0125,5,*,12.084502174537926,10,0.0062806415204678095,14.674046146672403
female,breadth,mnm2,3.1126050000000043,1,4.494510583333338,15,0.11646300000000018,15,0.011930069444444434,288,26.72612761134437,1.1418345387795332e-4,38.59174659190757,2.9886807926884785e-9,9.762139318831407,1.232934329183989e-18,0.016666666666666666,6,*,10.243656306676296,10,0.010453293055555573,12.077701103411073
female,breadth,mnm3,3.769422250000005,1,7.485439407894743,19,0.10258330263157893,19,0.017375527777777892,360,36.74498825152504,7.877766754799116e-6,72.96937431209636,7.481455966741652e-14,5.90389563664224,5.606344745281268e-13,0.025,7,*,16.9379687844336,10,0.008520777485380104,13.088853247620142
female,breadth,mnp4,0.41144033333332186,1,2.4796910476190424,14,0.0484324761904761,14,0.009699000000000013,270,8.495133135774475,0.01130996294568857,51.198931846203145,1.4684729926486043e-9,4.993553581861639,2.8083144948316952e-8,0.05,8,*,20.02581896051652,10,0.003873347619047609,8.93563643264057
female,length,mxp4,7.446843396226385,1,3.845778911205803,31,0.7500044065733402,31,0.021671301476301523,572,9.929066190757354,0.0035929435996104185,5.127675087639286,8.673094237983676e-6,34.60818481038167,2.4204443346675683e-110,0.00625,1,*,2.889489886508069,9.9375,0.07329138164498503,29.23307587644167
female,length,mxm2,4.23987476489017,1,14.034018231873771,31,0.48557663840855925,31,0.04328413666279482,574,8.731628397086894,0.005926653010240584,28.901757460715586,1.2868147113472528e-15,11.218351013708448,1.3864983720497229e-41,0.0071428571428571435,2,*,8.913966043476742,9.96875,0.04436789986164408,25.7086308861602
