Ind,Rep,Side,Sex,Dimension,Arcade,Class,Position,Trait,Value
F1,1,R,female,length,mn,molar,1,mnm1,9.13
F1,1,R,female,length,mn,molar,2,mnm2,11.59
F1,1,R,female,length,mn,molar,3,mnm3,14.91
F1,1,R,female,length,mn,premolar,4,mnp4,8.09
F1,1,R,female,length,mx,molar,1,mxm1,9.02
F1,1,R,female,length,mx,molar,2,mxm2,11.31
F1,1,R,female,length,mx,molar,3,mxm3,12.37
F1,1,R,female,length,mx,premolar,4,mxp4,6.24
F1,1,L,female,length,mn,molar,1,mnm1,9.03
F1,1,L,female,length,mn,molar,2,mnm2,11.31
F1,1,L,female,length,mn,molar,3,mnm3,15.22
F1,1,L,female,length,mn,premolar,4,mnp4,7.88
F1,1,L,female,length,mx,molar,1,mxm1,9.55
F1,1,L,female,length,mx,molar,2,mxm2,11.34
F1,1,L,female,length,mx,molar,3,mxm3,12.56
F1,1,L,female,length,mx,premolar,4,mxp4,6.62
F1,2,R,female,length,mn,molar,1,mnm1,9.22
F1,2,R,female,length,mn,molar,2,mnm2,11.68
F1,2,R,female,length,mn,molar,3,mnm3,15.41
F1,2,R,female,length,mn,premolar,4,mnp4,8.17
F1,2,R,female,length,mx,molar,1,mxm1,9.26
F1,2,R,female,length,mx,molar,2,mxm2,11.37
F1,2,R,female,length,mx,molar,3,mxm3,12.16
F1,2,R,female,length,mx,premolar,4,mxp4,6.23
F1,2,L,female,length,mn,molar,1,mnm1,9.02
F1,2,L,female,length,mn,molar,2,mnm2,11.16
F1,2,L,female,length,mn,molar,3,mnm3,15.56
F1,2,L,female,length,mn,premolar,4,mnp4,7.95
F1,2,L,female,length,mx,molar,1,mxm1,9.69
F1,2,L,female,length,mx,molar,2,mxm2,11.41
F1,2,L,female,length,mx,molar,3,mxm3,12.73
F1,2,L,female,length,mx,premolar,4,mxp4,6.44
F1,3,R,female,length,mn,molar,1,mnm1,9.17
F1,3,R,female,length,mn,molar,2,mnm2,11.57
F1,3,R,female,length,mn,molar,3,mnm3,15.41
F1,3,R,female,length,mn,premolar,4,mnp4,7.94
F1,3,R,female,length,mx,molar,1,mxm1,8.85
F1,3,R,female,length,mx,molar,2,mxm2,11.41
F1,3,R,female,length,mx,molar,3,mxm3,12.32
F1,3,R,female,length,mx,premolar,4,mxp4,6.22
F1,3,L,female,length,mn,molar,1,mnm1,9.38
F1,3,L,female,length,mn,molar,2,mnm2,11.32
F1,3,L,female,length,mn,molar,3,mnm3,15.54
F1,3,L,female,length,mn,premolar,4,mnp4,7.98
F1,3,L,female,length,mx,molar,1,mxm1,9.49
F1,3,L,female,length,mx,molar,2,mxm2,11.33
F1,3,L,female,length,mx,molar,3,mxm3,12.82
F1,3,L,female,length,mx,premolar,4,mxp4,6.39
F1,4,R,female,length,mn,molar,1,mnm1,9.16
F1,4,R,female,length,mn,molar,2,mnm2,11.56
F1,4,R,female,length,mn,molar,3,mnm3,15.17
F1,4,R,female,length,mn,premolar,4,mnp4,7.96
F1,4,R,female,length,mx,molar,1,mxm1,9.12
